StartDate,EndDate,Type,StarDifAprox,EndDifAprox,xStart,yStart,xEnd,yEnd
6/26/2007 11:32,6/26/2007 11:40,bus,500,500,0,0,0,0
3/28/2008 14:52,3/28/2008 15:59,train,4.5,0.033333333,39.893397,116.313677,39.50293,116.714948
3/28/2008 16:00,3/28/2008 22:02,train,1.983333333,0.683333333,39.489695,116.740047,36.671463,116.988268
3/29/2008 1:27,3/29/2008 15:59,train,5.383333333,0.183333333,36.661265,116.956267,34.490502,109.629697
3/29/2008 16:00,3/30/2008 15:59,train,1.783333333,0.316666667,34.495633,109.6054,41.137635,95.465557
3/30/2008 16:00,3/31/2008 3:13,train,1.633333333,500,41.153458,95.444897,0,0
3/31/2008 4:17,3/31/2008 15:31,train,2.883333333,0.233333333,43.774235,87.586467,41.744755,86.19441
3/31/2008 16:00,3/31/2008 16:09,taxi,0.983333333,0,41.737063,86.17947,41.758855,86.144468
3/31/2008 17:26,4/1/2008 0:35,train,1.383333333,0.233333333,41.746302,86.192568,41.14297,80.304102
4/1/2008 0:48,4/1/2008 0:59,taxi,0.983333333,0,41.14214,80.286858,41.169595,80.262703
4/1/2008 1:00,4/1/2008 1:08,walk,1,0,41.169568,80.263422,41.170472,80.264645
4/1/2008 3:46,4/1/2008 3:54,taxi,0.983333333,0,41.173933,80.274212,41.144598,80.30432
4/1/2008 4:15,4/1/2008 11:06,train,2.316666667,0.333333333,41.13767,80.289385,39.491195,76.046212
4/1/2008 11:22,4/1/2008 11:28,taxi,0.933333333,0,39.494543,76.038818,39.474855,76.002688
4/1/2008 11:30,4/1/2008 11:35,walk,0,0,39.475128,75.999173,39.473507,76.000835
4/2/2008 6:09,4/2/2008 6:28,walk,0,0,39.477125,75.989985,39.473308,75.987955
4/2/2008 6:30,4/2/2008 6:34,taxi,0,0,39.473332,75.988222,39.474775,75.980305
4/2/2008 11:24,4/2/2008 11:50,bus,0,0,39.471673,75.98658,39.493373,76.045505
4/3/2008 1:07,4/3/2008 11:31,train,0.733333333,0.483333333,39.492748,76.047162,41.693487,83.016
4/3/2008 11:32,4/3/2008 11:46,walk,1.966666667,0,41.693182,83.014692,41.695523,83.012748
4/3/2008 11:47,4/3/2008 11:55,taxi,0.983333333,0,41.697412,83.002462,41.710162,82.965533
4/3/2008 11:56,4/3/2008 12:06,walk,0.983333333,0,41.710273,82.965432,41.710183,82.965813
4/3/2008 13:55,4/3/2008 14:01,taxi,0.016666667,0,41.708647,82.968592,41.69361,83.013635
4/3/2008 15:31,4/3/2008 15:59,train,1.116666667,0,41.69331,83.015382,41.764992,83.344457
4/3/2008 16:00,4/4/2008 4:13,train,0.016666667,0,41.765113,83.345118,43.149517,88.873163
4/4/2008 4:27,4/4/2008 4:30,walk,0.016666667,0,43.150202,88.87202,43.151308,88.872018
4/4/2008 4:31,4/4/2008 5:03,taxi,0.016666667,0,43.151365,88.87204,42.949703,89.175358
4/4/2008 7:16,4/4/2008 7:53,taxi,0.016666667,0,42.949843,89.174598,43.15158,88.871817
4/4/2008 8:49,4/4/2008 15:59,train,3.85,0.083333333,43.152323,88.891095,41.12847,95.470535
4/4/2008 16:00,4/5/2008 3:31,train,0.566666667,7.15,41.1208,95.476023,36.059797,103.796352
4/5/2008 11:22,4/5/2008 15:59,train,5.433333333,0.05,36.029402,103.884232,34.532767,106.23869
4/5/2008 16:00,4/6/2008 1:20,train,0.416666667,0.133333333,34.532132,106.243835,34.749325,113.653217
4/6/2008 1:25,4/6/2008 1:27,walk,0.233333333,0,34.748652,113.65508,34.747628,113.655372
4/6/2008 3:05,4/6/2008 4:58,train,1.666666667,0.016666667,34.756763,113.649385,36.599758,114.469108
4/6/2008 6:14,4/6/2008 9:19,train,500,0.566666667,0,0,39.893725,116.313857
4/6/2008 9:30,4/6/2008 10:21,bus,0.25,0,39.895585,116.317153,39.921875,116.471752
5/18/2008 7:24,5/18/2008 8:03,bus,0.016666667,0,32.370435,119.394148,32.201522,119.428673
5/19/2008 5:50,5/19/2008 7:48,bus,0.016666667,0,29.86742,121.532585,30.760958,120.72849
6/13/2008 21:18,6/13/2008 21:31,walk,0.016666667,0,39.14384,117.215388,39.150863,117.208995
6/13/2008 21:42,6/13/2008 21:43,walk,0.016666667,0,39.155268,117.206882,39.156183,117.206428
6/13/2008 21:44,6/13/2008 21:46,walk,0.016666667,0,39.15705,117.20621,39.157857,117.205805
6/15/2008 22:16,6/15/2008 23:17,train,0.433333333,0.016666667,39.165638,117.203475,39.271592,117.80036
6/16/2008 1:29,6/16/2008 2:03,bus,0.016666667,0,39.243691,117.805235,39.14009,117.765842
6/16/2008 2:31,6/16/2008 2:33,walk,0.016666667,0,39.088993,117.699223,39.087835,117.698497
6/16/2008 2:37,6/16/2008 2:38,walk,0.016666667,0,39.088015,117.698638,39.088915,117.699125
6/16/2008 2:39,6/16/2008 2:40,walk,0.016666667,0,39.088155,117.698665,39.08761,117.698388
6/16/2008 2:45,6/16/2008 2:49,walk,0.016666667,0,39.087682,117.698222,39.083842,117.695972
6/16/2008 3:29,6/16/2008 3:30,walk,9.95,0.066666667,39.038363,117.676672,39.024328,117.673812
6/16/2008 3:38,6/16/2008 3:39,walk,0.85,0,39.024465,117.673503,39.024705,117.672803
6/16/2008 3:43,6/16/2008 3:44,walk,0.016666667,0,39.025675,117.672368,39.027345,117.67296
6/16/2008 6:56,6/16/2008 7:11,walk,0.016666667,0,39.02853,117.673273,39.030542,117.67413
6/16/2008 9:48,6/16/2008 10:29,train,0.1,0.383333333,39.029298,117.666467,39.117835,117.243623
6/16/2008 10:34,6/16/2008 10:48,walk,0.016666667,0,39.117595,117.24397,39.120128,117.238887
6/17/2008 9:44,6/17/2008 10:16,bus,0.016666667,0,39.976016,116.310973,39.939494,116.346278
6/17/2008 10:53,6/17/2008 11:00,walk,0.016666667,0,39.900011,116.41256,39.90036,116.419796
6/17/2008 11:08,6/17/2008 12:22,train,0.183333333,0.033333333,39.900273,116.420266,39.119018,117.241888
6/17/2008 12:22,6/17/2008 12:29,walk,0.016666667,0,39.119036,117.241861,39.120958,117.238451
6/17/2008 12:30,6/17/2008 12:37,taxi,0.033333333,0,39.121266,117.238406,39.137299,117.220753
6/18/2008 0:34,6/18/2008 0:39,walk,0.016666667,0,39.136351,117.218273,39.137188,117.213931
6/18/2008 0:40,6/18/2008 0:53,taxi,0.016666667,0,39.137196,117.213856,39.16433,117.202406
6/18/2008 1:10,6/18/2008 3:23,train,0.55,0.066666667,39.164173,117.204039,39.900893,116.421818
6/18/2008 3:44,6/18/2008 3:52,walk,0.016666667,0,39.903018,116.422023,39.906803,116.423958
6/18/2008 3:58,6/18/2008 4:12,bus,0.016666667,0,39.907198,116.420995,39.906038,116.352306
6/18/2008 4:46,6/18/2008 4:54,subway,0.183333333,0.066666667,39.940491,116.346745,39.991215,116.3315
6/18/2008 5:13,6/18/2008 5:15,bus,0.016666667,0,39.991534,116.327023,39.991323,116.317309
6/18/2008 12:10,6/18/2008 12:20,walk,0.016666667,0,39.991159,116.31947,39.991593,116.328095
6/18/2008 12:33,6/18/2008 13:23,bus,0.016666667,0,39.991434,116.327256,39.932294,116.463301
